[2026-05-11 10:15:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave escritorio', payload '{"fading_time":30,"illuminance":2800,"indicator":"ON","large_motion_detection_distance":5,"large_motion_detection_sensitivity":9,"last_seen":"2026-05-11T13:15:56.595Z","linkquality":21,"medium_motion_detection_distance":3,"medium_motion_detection_sensitivity":7,"minimum_range":null,"motion_state":"large","presence":true,"small_detection_distance":0.5,"small_detection_sensitivity":5,"target_distance":null}'
[2026-05-11 10:15:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":190,"last_seen":"2026-05-11T13:15:56.677Z","linkquality":51,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.86}'
[2026-05-11 10:15:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Tomada Bancada Escritório', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.73,"energy":0.22,"identify":null,"indicator_mode":"on","last_seen":"2026-05-11T13:15:56.813Z","linkquality":25,"power":75,"power_outage_memory":"off","state":"ON","switch_type_button":null,"update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":130}'
[2026-05-11 10:15:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/POW Chuveiro Laura', payload '{"ac_frequency":59.95,"current":0,"energy":8.56,"event":null,"forward_electricity":856,"last_seen":"2026-05-11T13:15:56.850Z","linkquality":54,"over_current_setting":"Alarm","over_current_threshold":50,"over_power_setting":"Ignore","over_power_threshold":2000,"over_voltage_setting":"Alarm","over_voltage_threshold":280,"power":0,"power_factor":0,"temperature":33,"temperature_setting":"Alarm","temperature_threshold":80,"test1":0,"under_voltage_setting":"Alarm","under_voltage_threshold":100,"voltage":226.8}'
[2026-05-11 10:15:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":4,"last_seen":"2026-05-11T13:15:56.997Z","linkquality":54,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:15:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":16,"last_seen":"2026-05-11T13:15:57.160Z","linkquality":83,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:15:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":190,"last_seen":"2026-05-11T13:15:57.664Z","linkquality":47,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.87}'
[2026-05-11 10:15:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Tomada Bancada Escritório', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.73,"energy":0.22,"identify":null,"indicator_mode":"on","last_seen":"2026-05-11T13:15:57.811Z","linkquality":25,"power":68,"power_outage_memory":"off","state":"ON","switch_type_button":null,"update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":130}'
[2026-05-11 10:15:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Sotão', payload '{"battery":100,"humidity":61.84,"last_seen":"2026-05-11T13:15:57.881Z","linkquality":21,"temperature":25.31,"update":{"installed_version":-1,"latest_version":-1,"state":"available"},"voltage":2900}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Sotão', payload '{"battery":100,"humidity":61.73,"last_seen":"2026-05-11T13:15:58.002Z","linkquality":18,"temperature":25.31,"update":{"installed_version":-1,"latest_version":-1,"state":"available"},"voltage":2900}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Sotão', payload '{"battery":100,"humidity":61.6,"last_seen":"2026-05-11T13:15:58.035Z","linkquality":21,"temperature":25.31,"update":{"installed_version":-1,"latest_version":-1,"state":"available"},"voltage":2900}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":16,"last_seen":"2026-05-11T13:15:58.123Z","linkquality":91,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":4,"last_seen":"2026-05-11T13:15:58.604Z","linkquality":47,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":190,"last_seen":"2026-05-11T13:15:58.673Z","linkquality":51,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.82}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":16,"last_seen":"2026-05-11T13:15:58.756Z","linkquality":87,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Geladeira ', payload '{"battery":57.5,"humidity":58.28,"last_seen":"2026-05-11T13:15:58.828Z","linkquality":51,"temperature":8.45,"voltage":2900}'
[2026-05-11 10:15:59] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":190,"last_seen":"2026-05-11T13:15:59.667Z","linkquality":47,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.84}'
[2026-05-11 10:15:59] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Pergolado', payload '{"battery":76,"humidity":90.3,"last_seen":"2026-05-11T13:15:59.902Z","linkquality":87,"temperature":23.85,"voltage":2900}'
[2026-05-11 10:16:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":4,"last_seen":"2026-05-11T13:16:00.198Z","linkquality":51,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:16:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":16,"last_seen":"2026-05-11T13:16:00.359Z","linkquality":91,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-11 10:16:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":1147,"last_seen":"2026-05-11T13:16:00.467Z","linkquality":54,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-11 10:16:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":184,"last_seen":"2026-05-11T13:16:00.656Z","linkquality":51,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.84}'
[2026-05-11 10:16:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":184,"last_seen":"2026-05-11T13:16:00.709Z","linkquality":51,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.96}'
[2026-05-11 10:16:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":178,"last_seen":"2026-05-11T13:16:01.376Z","linkquality":54,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.96}'
[2026-05-11 10:16:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":178,"last_seen":"2026-05-11T13:16:01.666Z","linkquality":61,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":3}'
